nome,descrizione,categoria,immagine,artista,anno_uscita,link_streaming,etichetta,
Ahia!,"Ahia! è il secondo EP dei Pinguini Tattici Nucleari, pubblicato il 4 dicembre 2020 per l'etichetta Sony Music. L'uscita dell'EP è stata anticipata dai singoli La storia infinita e Scooby Doo, e dall'omonimo romanzo del frontman Riccardo Zanotti, edito da Arnoldo Mondadori Editore il 3 novembre 2020.",Pop,"",Pinguini Tattici Nucleari,2020,https://open.spotify.com/album/0b2peKNz7zmn4xIxfPBUPa?si=3061a729a93c4608,Sony Music
Pop-hoolista,"Pop-hoolista è il quarto album in studio di Fedez, pubblicato il 30 settembre 2014. L'album presenta una forte impronta politica e sociale, con collaborazioni di vari artisti della scena italiana.",Pop,"",Fedez,2014,https://open.spotify.com/album/3MJfMtxaK8aHRFQk1Aqzcl?si=U85oRtUUQymmVwvrXdoUMQ,Newtopia/Sony Music
Possibili Scenari,"Possibili Scenari è il quinto album in studio di Cesare Cremonini, uscito il 24 novembre 2017. L'album segna una maturazione stilistica dell'artista, con testi poetici e arrangiamenti sofisticati.",Pop,"",Cesare Cremonini,2017,https://open.spotify.com/album/1tcX4ysSZEeMMshVVbkkDa?si=pERttmlSSr6k2B0Uy7NoIA,Universal Music Italia
Thriller,"Thriller è il sesto album in studio di Michael Jackson, pubblicato il 30 novembre 1982. È l'album più venduto di tutti i tempi e include brani iconici come Billie Jean e Beat It.",Pop,"",Michael Jackson,1982,https://open.spotify.com/album/1C2h7mLntPSeVYciMRTF4a?si=EJe42qC6QfiSTWVmouIYZQ,Epic Records
Future Nostalgia,"Future Nostalgia è il secondo album in studio di Dua Lipa, uscito il 27 marzo 2020. Ha segnato un ritorno al pop e alla disco anni '80, con successi come Don't Start Now e Levitating.",Pop,"",Dua Lipa,2020,https://open.spotify.com/album/7fJJK56U9fHixgO0HQkhtI?si=Il71tSWpRLiFIskH4kR3xg,Warner Records
Like a Virgin,"Like a Virgin è il secondo album in studio di Madonna, pubblicato il 12 novembre 1984. È considerato uno degli album più influenti del pop anni '80.",Pop,"",Madonna,1984,https://open.spotify.com/album/2IU9ftOgyRL2caQGWK1jjX?si=olgUbfmVSNqfsIzem9S0dA,Sire Records
Bollicine,"Bollicine è l'ottavo album in studio di Vasco Rossi, pubblicato nel 1983. Contiene il celebre brano Vita spericolata.",Rock,"",Vasco Rossi,1983,https://open.spotify.com/album/5WUD0byhd6mQvKnPATSwpo?si=44d518d7c1cf484d,Carosello Records
17 Re,"17 Re è il secondo album in studio dei Litfiba, pubblicato nel 1986. È considerato un capolavoro del rock italiano.",Rock,"",Litfiba,1986,https://open.spotify.com/album/7sKhCjOQRo08dgtdRG9UyY?si=69bad55142254c20,IRA Records
Hai paura del buio?,"Hai paura del buio? è il quarto album in studio degli Afterhours, pubblicato nel 1997. È uno dei dischi più importanti del rock alternativo italiano.",Rock,"",Afterhours,1997,https://open.spotify.com/album/4hcEsTRkJkDdUsvVKI0oMF?si=8aeb070328424d97,Mescal
The Dark Side of the Moon,"The Dark Side of the Moon è l'ottavo album in studio dei Pink Floyd, pubblicato nel 1973. È uno degli album più iconici della storia del rock.",Rock,"",Pink Floyd,1973,https://open.spotify.com/album/4LH4d3cOWNNsVw41Gqt2kv?si=930536a10d164ff3,Harvest Records
